year,winner,runner-up
1957,Egypt,Ethiopia
1959,Egypt,Sudan
1962,Ethiopia,Egypt
1963,Ghana,Sudan
1965,Ghana,Tunisia
1968,Congo (Kinshasa),Ghana
1970,Sudan,Ghana
1972,Congo (Brazzaville),Mali
1974,Zaire,Zambia
1976,Morocco,Guinea
1978,Ghana,Uganda
1980,Nigeria,Algeria
1982,Ghana,Libya
1984,Cameroon,Nigeria
1986,Egypt,Cameroon
1988,Cameroon,Nigeria
1990,Algeria,Nigeria
1992,Côte d'Ivoire,Ghana
1994,Nigeria,Zambia
1996,South Africa,Tunisia
1998,Egypt,South Africa
2000,Cameroon,Nigeria
2002,Cameroon,Senegal
2004,Tunisia,Morocco
2006,Egypt,Côte d'Ivoire
2008,Egypt,Cameroon
2010,Egypt,Ghana
2012,Zambia,Côte d'Ivoire
2013,Nigeria,Burkina Faso
2015,Côte d'Ivoire,Ghana
2017,Cameroon,Egypt
2019,Algeria,Senegal
2021,Senegal,Egypt
2023,Côte d'Ivoire,Nigeria
