,rank,Team,rank_change,year,Part,Pld,W,D,L,GF,GA,GD,Points,previous_cup_wins,won_this_year
0,32,Zambia,0,1992,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
1,30,Algeria,0,1992,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
2,27,Ivory Coast,0,1992,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,1
3,22,Cameroon,0,1992,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
4,21,Egypt,0,1992,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,3,0
5,54,Zimbabwe,0,1992,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
6,53,Malawi,0,1992,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
7,51,Senegal,0,1992,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
8,41,Morocco,0,1992,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
9,39,Ghana,0,1992,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
10,38,Tunisia,0,1992,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
11,55,Gabon,0,1992,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
12,13,Nigeria,0,1992,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,1,0
13,150,Gambia,0,1992,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
14,151,Equatorial Guinea,0,1992,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
15,155,Chad,0,1992,,,,,,,,,,0,0
16,163,Rwanda,0,1992,1.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0,0
17,163,Somalia,0,1992,,,,,,,,,,0,0
18,158,Namibia,0,1992,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
19,148,CAR,0,1992,,,,,,,,,,0,0
20,147,Seychelles,0,1992,,,,,,,,,,0,0
21,142,Lesotho,0,1992,,,,,,,,,,0,0
22,117,Guinea-Bissau,0,1992,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
23,112,Mauritius,0,1992,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
24,111,Sudan,0,1992,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
25,107,Mozambique,0,1992,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
26,104,Eswatini,0,1992,,,,,,,,,,0,0
27,102,Angola,0,1992,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
28,137,Libya,0,1992,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
29,135,Cape Verde,0,1992,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
30,134,Mauritania,0,1992,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
31,127,Benin,0,1992,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
32,124,South Africa,0,1992,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,0,0
33,101,Togo,0,1992,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
34,100,Burundi,0,1992,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
35,139,Botswana,0,1992,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
36,69,Mali,0,1992,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
37,76,Kenya,0,1992,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
38,74,Madagascar,0,1992,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
39,63,Guinea,0,1992,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
40,60,DR Congo,0,1992,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
41,80,Tanzania,0,1992,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
42,97,Burkina Faso,0,1992,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
43,79,Sierra Leone,0,1992,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
44,90,Congo,0,1992,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
45,92,Uganda,0,1992,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
46,85,Ethiopia,0,1992,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
47,84,Liberia,0,1992,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
48,81,Niger,0,1992,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
49,104,Uganda,12,1993,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
50,107,Congo,17,1993,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
51,109,South Africa,-15,1993,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,0,0
52,113,Burkina Faso,16,1993,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
53,114,Togo,13,1993,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
54,123,Mauritius,11,1993,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
55,86,Sierra Leone,7,1993,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
56,88,Kenya,12,1993,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
57,102,Eswatini,-2,1993,,,,,,,,,,0,0
58,91,Tanzania,11,1993,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
59,93,Angola,-9,1993,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
60,95,Ethiopia,10,1993,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
61,96,Burundi,-4,1993,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
62,99,Liberia,15,1993,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
63,100,Mozambique,-7,1993,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
64,124,Benin,-3,1993,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
65,126,Sudan,15,1993,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
66,152,Seychelles,5,1993,,,,,,,,,,0,0
67,153,CAR,5,1993,,,,,,,,,,0,0
68,154,Gambia,4,1993,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
69,155,Namibia,-3,1993,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
70,159,Equatorial Guinea,8,1993,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
71,163,Chad,8,1993,,,,,,,,,,0,0
72,146,Lesotho,4,1993,,,,,,,,,,0,0
73,133,Guinea-Bissau,16,1993,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
74,135,Botswana,-4,1993,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
75,140,Libya,3,1993,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
76,142,Mauritania,8,1993,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
77,143,Cape Verde,8,1993,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
78,24,Cameroon,2,1993,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
79,25,Zambia,-7,1993,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
80,26,Egypt,5,1993,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,3,0
81,31,Tunisia,-7,1993,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
82,33,Morocco,-8,1993,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
83,34,Algeria,4,1993,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
84,29,Ivory Coast,2,1993,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
85,17,Nigeria,4,1993,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,1,0
86,81,Madagascar,7,1993,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
87,64,Gabon,9,1993,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
88,65,Guinea,2,1993,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
89,71,DR Congo,11,1993,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
90,74,Mali,5,1993,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
91,77,Niger,-4,1993,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
92,68,Malawi,15,1993,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
93,58,Senegal,7,1993,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
94,48,Ghana,9,1993,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
95,50,Zimbabwe,-4,1993,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
96,57,Senegal,-1,1993,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
97,51,Gabon,-13,1993,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
98,47,Zimbabwe,-3,1993,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
99,60,Guinea,-5,1993,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
100,79,Sierra Leone,-7,1993,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
101,72,Kenya,-16,1993,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
102,70,Mali,-4,1993,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
103,69,DR Congo,-2,1993,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
104,68,Malawi,0,1993,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
105,42,Ghana,-6,1993,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
106,23,Cameroon,-1,1993,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
107,18,Nigeria,1,1993,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,1,0
108,34,Tunisia,3,1993,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
109,32,Morocco,-1,1993,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
110,31,Ivory Coast,2,1993,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
111,27,Zambia,2,1993,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
112,25,Egypt,-1,1993,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,3,0
113,30,Algeria,-4,1993,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
114,82,Niger,5,1993,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
115,147,Libya,7,1993,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
116,144,Mauritania,2,1993,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
117,142,Cape Verde,-1,1993,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
118,136,Botswana,1,1993,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
119,135,Lesotho,-11,1993,,,,,,,,,,0,0
120,130,Guinea-Bissau,-3,1993,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
121,163,Chad,0,1993,,,,,,,,,,0,0
122,159,Equatorial Guinea,0,1993,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
123,155,Namibia,0,1993,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
124,154,CAR,1,1993,,,,,,,,,,0,0
125,152,Seychelles,0,1993,,,,,,,,,,0,0
126,152,Gambia,-2,1993,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
127,83,Madagascar,2,1993,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
128,101,Congo,-6,1993,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
129,99,Tanzania,8,1993,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
130,98,Burundi,2,1993,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
131,97,Angola,4,1993,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
132,96,Uganda,-8,1993,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
133,95,South Africa,-14,1993,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,0,0
134,93,Eswatini,-9,1993,,,,,,,,,,0,0
135,92,Ethiopia,-3,1993,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
136,103,Mozambique,3,1993,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
137,104,Togo,-10,1993,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
138,124,Mauritius,1,1993,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
139,124,Benin,0,1993,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
140,119,Burkina Faso,6,1993,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
141,115,Sudan,-11,1993,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
142,112,Liberia,13,1993,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
143,73,Mali,3,1993,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
144,57,Senegal,0,1993,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
145,54,Gabon,3,1993,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
146,63,Guinea,3,1993,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
147,83,Sierra Leone,4,1993,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
148,82,Niger,0,1993,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
149,72,Kenya,0,1993,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
150,70,DR Congo,1,1993,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
151,69,Malawi,1,1993,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
152,43,Zimbabwe,-4,1993,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
153,16,Nigeria,-2,1993,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,1,0
154,22,Cameroon,-1,1993,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
155,40,Ghana,-2,1993,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
156,35,Tunisia,1,1993,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
157,33,Ivory Coast,2,1993,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
158,31,Algeria,1,1993,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
159,30,Morocco,-2,1993,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
160,27,Egypt,2,1993,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,3,0
161,25,Zambia,-2,1993,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
162,86,Madagascar,3,1993,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
163,143,Mauritania,-1,1993,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
164,142,Cape Verde,0,1993,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
165,148,Libya,1,1993,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
166,137,Botswana,1,1993,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
167,135,Lesotho,0,1993,,,,,,,,,,0,0
168,131,Guinea-Bissau,1,1993,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
169,164,Chad,1,1993,,,,,,,,,,0,0
170,159,Equatorial Guinea,0,1993,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
