Rank,Team,Part,Pld,W,D,L,GF,GA,GD,Points
1,Egypt,26,111,60,24,27,175,97,+78,204
2,Nigeria,20,104,57,24,23,146,95,+50,195
3,Ghana,24,105,54,23,28,138,93,+45,185
4,Ivory Coast,25,106,48,30,28,152,111,+41,174
5,Cameroon,21,95,46,31,18,142,90,+52,169
6,Morocco,19,74,29,25,20,87,65,+22,112
7,Senegal,17,71,30,18,23,87,58,+29,108
8,Algeria,20,80,28,24,28,97,93,+4,108
9,Tunisia,21,83,25,30,27,99,97,+2,105
10,Zambia,18,69,27,19,23,83,70,+13,100
11,DR Congo,20,80,21,29,30,94,107,-13,92
12,Mali,13,59,21,21,17,71,69,+2,84
13,South Africa,11,50,18,16,16,55,48,+7,70
14,Guinea,14,52,15,18,19,65,72,-7,63
15,Burkina Faso,13,52,10,17,25,51,78,-27,47
16,Angola,9,31,7,13,11,39,43,-4,34
17,Gabon,8,25,7,10,8,24,27,-3,31
18,Equatorial Guinea,4,19,8,5,6,20,18,+2,29
19,Congo,7,26,7,7,12,27,37,-10,28
20,Sudan,9,27,7,7,13,29,42,-13,28
21,Ethiopia,11,30,7,4,19,31,67,-36,25
22,Cape Verde,4,16,5,8,3,14,12,+2,21
23,Togo,8,25,3,8,14,19,42,-23,17
24,Uganda,7,23,4,3,16,21,38,-17,15
25,Libya,3,11,3,5,3,12,13,-1,14
26,Zimbabwe,5,15,3,2,10,16,31,-15,11
27,Gambia,2,8,3,1,4,6,10,-4,10
28,Kenya,6,17,2,4,11,11,31,-20,10
29,Madagascar,1,5,2,2,1,7,7,0,8
30,Malawi,3,10,2,2,6,9,15,-6,8
31,Sierra Leone,3,8,1,3,4,4,14,-10,6
32,Namibia,4,13,1,3,9,11,31,-20,6
33,Liberia,2,5,1,2,2,5,7,-2,5
34,Mauritania,3,10,1,2,7,4,16,-12,5
35,Benin,4,14,0,5,9,7,24,-17,5
36,Rwanda,1,3,1,1,1,3,3,0,4
37,Mozambique,5,15,0,4,11,8,33,-25,4
38,Comoros,1,4,1,0,3,4,7,-3,3
39,Tanzania,3,9,0,3,6,6,18,-12,3
40,Guinea-Bissau,4,12,0,3,9,4,19,-15,3
41,Niger,2,6,0,1,5,1,9,-8,1
42,Burundi,1,3,0,0,3,0,4,-4,0
43,Mauritius,1,3,0,0,3,2,8,-6,0
44,Botswana,1,3,0,0,3,2,9,-7,0
